pipeline,metric,treated,is_real,tau_hat_d,se_d
corrected,SOS,Angul|Baleshwar|Cuttack|Dhenkanal|Puri,False,-13.9433,21.2626
corrected,SOS,Angul|Baleshwar|Cuttack|Jagatsinghpur|Kendrapara,False,-8.3984,22.2346
corrected,SOS,Angul|Baleshwar|Cuttack|Jagatsinghpur|Puri,False,-9.586,21.9637
corrected,SOS,Angul|Baleshwar|Cuttack|Kendrapara|Puri,False,-18.4038,20.0679
corrected,SOS,Angul|Baleshwar|Dhenkanal|Jagatsinghpur|Kendrapara,False,-5.1664,22.7604
corrected,SOS,Angul|Baleshwar|Dhenkanal|Jagatsinghpur|Puri,False,-6.354,22.5267
corrected,SOS,Angul|Baleshwar|Dhenkanal|Kendrapara|Puri,False,-15.1718,20.9304
corrected,SOS,Angul|Baleshwar|Jagatsinghpur|Kendrapara|Puri,False,-10.8144,21.687
corrected,SOS,Angul|Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur,False,10.0851,18.576
corrected,SOS,Angul|Bhadrak|Cuttack|Dhenkanal|Kendrapara,False,1.2673,18.1152
corrected,SOS,Angul|Bhadrak|Cuttack|Dhenkanal|Puri,False,0.0798,17.898
corrected,SOS,Angul|Bhadrak|Cuttack|Jagatsinghpur|Kendrapara,False,5.6247,18.2888
corrected,SOS,Angul|Bhadrak|Cuttack|Jagatsinghpur|Puri,False,4.4371,18.1254
corrected,SOS,Angul|Bhadrak|Cuttack|Kendrapara|Puri,False,-4.3807,17.1347
corrected,SOS,Angul|Bhadrak|Dhenkanal|Jagatsinghpur|Kendrapara,False,8.8567,18.4861
corrected,SOS,Angul|Bhadrak|Dhenkanal|Jagatsinghpur|Puri,False,7.6691,18.3624
corrected,SOS,Angul|Bhadrak|Dhenkanal|Kendrapara|Puri,False,-1.1487,17.6793
corrected,SOS,Angul|Bhadrak|Jagatsinghpur|Kendrapara|Puri,False,3.2087,17.9635
corrected,SOS,Angul|Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara,False,-29.1184,19.8669
corrected,SOS,Angul|Cuttack|Dhenkanal|Jagatsinghpur|Puri,False,-30.306,19.3342
corrected,SOS,Angul|Cuttack|Dhenkanal|Kendrapara|Puri,False,-39.1238,15.1
corrected,SOS,Angul|Cuttack|Jagatsinghpur|Kendrapara|Puri,False,-34.7664,17.2633
corrected,SOS,Angul|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,-31.5344,18.7756
corrected,SOS,Baleshwar|Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur,False,22.094,14.883
corrected,SOS,Baleshwar|Bhadrak|Cuttack|Dhenkanal|Kendrapara,False,13.2762,15.5858
corrected,SOS,Baleshwar|Bhadrak|Cuttack|Dhenkanal|Puri,False,12.0887,15.5002
corrected,SOS,Baleshwar|Bhadrak|Cuttack|Jagatsinghpur|Kendrapara,False,17.6336,15.1756
corrected,SOS,Baleshwar|Bhadrak|Cuttack|Jagatsinghpur|Puri,False,16.446,15.1496
corrected,SOS,Baleshwar|Bhadrak|Cuttack|Kendrapara|Puri,False,7.6282,15.2612
corrected,SOS,Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur|Kendrapara,False,20.8656,14.9502
corrected,SOS,Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur|Puri,False,19.678,14.9703
corrected,SOS,Baleshwar|Bhadrak|Dhenkanal|Kendrapara|Puri,False,10.8602,15.4213
corrected,SOS,Baleshwar|Bhadrak|Jagatsinghpur|Kendrapara|Puri,True,15.2176,15.133
corrected,SOS,Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara,False,-17.1096,21.0121
corrected,SOS,Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur|Puri,False,-18.2971,20.6347
corrected,SOS,Baleshwar|Cuttack|Dhenkanal|Kendrapara|Puri,False,-27.1149,17.8412
corrected,SOS,Baleshwar|Cuttack|Jagatsinghpur|Kendrapara|Puri,False,-22.7576,19.2194
corrected,SOS,Baleshwar|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,-19.5256,20.2445
