district,district_id,year,year_type,cyclone_exposure,cyclone_year_event,pipeline,metric,median_doy,p25_doy,p75_doy,boot_p025,boot_p975,n_pixels,v21_f,v21_delta_cyc,v21_correction_days,v21_share_source
Baleshwar,bls,2022,control,coastal_treatment,,corrected,EOS,349.0,344.28,353.72,347.63,350.37,23928067,0.0,0.0,0.0,none
Baleshwar,bls,2023,control,coastal_treatment,,raw,SOS,196.0,173.09,218.91,189.34,202.66,23940178,,,,
Baleshwar,bls,2023,control,coastal_treatment,,corrected,SOS,196.0,173.09,218.91,189.34,202.66,23940178,0.0,0.0,0.0,none
Baleshwar,bls,2023,control,coastal_treatment,,raw,POS,288.0,283.28,292.72,286.63,289.37,23940178,,,,
Baleshwar,bls,2023,control,coastal_treatment,,corrected,POS,288.0,283.28,292.72,286.63,289.37,23940178,0.0,0.0,0.0,none
Baleshwar,bls,2023,control,coastal_treatment,,raw,EOS,349.0,344.28,353.72,347.63,350.37,23940178,,,,
Baleshwar,bls,2023,control,coastal_treatment,,corrected,EOS,349.0,344.28,353.72,347.63,350.37,23940178,0.0,0.0,0.0,none
Baleshwar,bls,2024,control,coastal_treatment,,raw,SOS,167.0,155.92,178.08,163.78,170.22,23828402,,,,
Baleshwar,bls,2024,control,coastal_treatment,,corrected,SOS,167.0,155.92,178.08,163.78,170.22,23828402,0.0,0.0,0.0,none
Baleshwar,bls,2024,control,coastal_treatment,,raw,POS,289.0,279.65,298.35,286.28,291.72,23828402,,,,
Baleshwar,bls,2024,control,coastal_treatment,,corrected,POS,289.0,279.65,298.35,286.28,291.72,23828402,0.0,0.0,0.0,none
Baleshwar,bls,2024,control,coastal_treatment,,raw,EOS,350.0,345.28,354.72,348.63,351.37,23828402,,,,
Baleshwar,bls,2024,control,coastal_treatment,,corrected,EOS,350.0,345.28,354.72,348.63,351.37,23828402,0.0,0.0,0.0,none
Bhadrak,bha,2017,control,coastal_treatment,,raw,SOS,319.0,307.55,330.45,315.67,322.33,19355601,,,,
Bhadrak,bha,2017,control,coastal_treatment,,corrected,SOS,319.0,307.55,330.45,315.67,322.33,19355601,0.0,0.0,0.0,none
Bhadrak,bha,2017,control,coastal_treatment,,raw,POS,319.0,307.55,330.45,315.67,322.33,19355601,,,,
Bhadrak,bha,2017,control,coastal_treatment,,corrected,POS,319.0,307.55,330.45,315.67,322.33,19355601,0.0,0.0,0.0,none
Bhadrak,bha,2017,control,coastal_treatment,,raw,EOS,349.0,344.28,353.72,347.63,350.37,19355601,,,,
Bhadrak,bha,2017,control,coastal_treatment,,corrected,EOS,349.0,344.28,353.72,347.63,350.37,19355601,0.0,0.0,0.0,none
Bhadrak,bha,2018,control,coastal_treatment,,raw,SOS,135.0,78.48,191.52,118.57,151.43,19331033,,,,
Bhadrak,bha,2018,control,coastal_treatment,,corrected,SOS,135.0,78.48,191.52,118.57,151.43,19331033,0.0,0.0,0.0,none
Bhadrak,bha,2018,control,coastal_treatment,,raw,POS,288.0,283.28,292.72,286.63,289.37,19331033,,,,
Bhadrak,bha,2018,control,coastal_treatment,,corrected,POS,288.0,283.28,292.72,286.63,289.37,19331033,0.0,0.0,0.0,none
Bhadrak,bha,2018,control,coastal_treatment,,raw,EOS,349.0,344.28,353.72,347.63,350.37,19331033,,,,
Bhadrak,bha,2018,control,coastal_treatment,,corrected,EOS,349.0,344.28,353.72,347.63,350.37,19331033,0.0,0.0,0.0,none
Bhadrak,bha,2019,treatment,coastal_treatment,Fani,raw,SOS,258.0,240.51,275.49,252.92,263.08,19202230,,,,
Bhadrak,bha,2019,treatment,coastal_treatment,Fani,corrected,SOS,258.0,240.51,275.49,252.92,263.08,19202230,0.0,0.0,0.0,EMSR357_real
Bhadrak,bha,2019,treatment,coastal_treatment,Fani,raw,POS,288.0,276.55,299.45,284.67,291.33,19202230,,,,
Bhadrak,bha,2019,treatment,coastal_treatment,Fani,corrected,POS,288.0,276.55,299.45,284.67,291.33,19202230,0.0,0.0,0.0,EMSR357_real
Bhadrak,bha,2019,treatment,coastal_treatment,Fani,raw,EOS,349.0,344.28,353.72,347.63,350.37,19202230,,,,
Bhadrak,bha,2019,treatment,coastal_treatment,Fani,corrected,EOS,349.0,344.28,353.72,347.63,350.37,19202230,0.0,0.0,0.0,EMSR357_real
Bhadrak,bha,2020,treatment,coastal_treatment,Amphan,raw,SOS,259.0,232.05,285.95,251.17,266.83,19355962,,,,
Bhadrak,bha,2020,treatment,coastal_treatment,Amphan,corrected,SOS,258.94,232.05,285.95,251.17,266.83,19355962,0.004591,14.0,-0.06,provisional_label_density × Module08 polygon-area
Bhadrak,bha,2020,treatment,coastal_treatment,Amphan,raw,POS,289.0,284.28,293.72,287.63,290.37,19355962,,,,
Bhadrak,bha,2020,treatment,coastal_treatment,Amphan,corrected,POS,288.97,284.28,293.72,287.63,290.37,19355962,0.004591,7.0,-0.03,provisional_label_density × Module08 polygon-area
Bhadrak,bha,2020,treatment,coastal_treatment,Amphan,raw,EOS,350.0,345.28,354.72,348.63,351.37,19355962,,,,
Bhadrak,bha,2020,treatment,coastal_treatment,Amphan,corrected,EOS,349.9,345.28,354.72,348.63,351.37,19355962,0.004591,21.0,-0.1,provisional_label_density × Module08 polygon-area
Bhadrak,bha,2021,treatment,coastal_treatment,Yaas,raw,SOS,196.0,186.95,205.05,193.37,198.63,18898032,,,,
Bhadrak,bha,2021,treatment,coastal_treatment,Yaas,corrected,SOS,195.69,186.95,205.05,193.37,198.63,18898032,0.022443,14.0,-0.31,provisional_label_density × Module08 polygon-area
Bhadrak,bha,2021,treatment,coastal_treatment,Yaas,raw,POS,288.0,283.28,292.72,286.63,289.37,18898032,,,,
Bhadrak,bha,2021,treatment,coastal_treatment,Yaas,corrected,POS,287.84,283.28,292.72,286.63,289.37,18898032,0.022443,7.0,-0.16,provisional_label_density × Module08 polygon-area
Bhadrak,bha,2021,treatment,coastal_treatment,Yaas,raw,EOS,349.0,344.28,353.72,347.63,350.37,18898032,,,,
Bhadrak,bha,2021,treatment,coastal_treatment,Yaas,corrected,EOS,348.53,344.28,353.72,347.63,350.37,18898032,0.022443,21.0,-0.47,provisional_label_density × Module08 polygon-area
Bhadrak,bha,2022,control,coastal_treatment,,raw,SOS,258.0,253.28,262.72,256.63,259.37,19500602,,,,
Bhadrak,bha,2022,control,coastal_treatment,,corrected,SOS,258.0,253.28,262.72,256.63,259.37,19500602,0.0,0.0,0.0,none
Bhadrak,bha,2022,control,coastal_treatment,,raw,POS,288.0,283.28,292.72,286.63,289.37,19500602,,,,
Bhadrak,bha,2022,control,coastal_treatment,,corrected,POS,288.0,283.28,292.72,286.63,289.37,19500602,0.0,0.0,0.0,none
Bhadrak,bha,2022,control,coastal_treatment,,raw,EOS,349.0,344.28,353.72,347.63,350.37,19500602,,,,
Bhadrak,bha,2022,control,coastal_treatment,,corrected,EOS,349.0,344.28,353.72,347.63,350.37,19500602,0.0,0.0,0.0,none
Bhadrak,bha,2023,control,coastal_treatment,,raw,SOS,258.0,235.09,280.91,251.34,264.66,19512985,,,,
Bhadrak,bha,2023,control,coastal_treatment,,corrected,SOS,258.0,235.09,280.91,251.34,264.66,19512985,0.0,0.0,0.0,none
Bhadrak,bha,2023,control,coastal_treatment,,raw,POS,288.0,283.28,292.72,286.63,289.37,19512985,,,,
Bhadrak,bha,2023,control,coastal_treatment,,corrected,POS,288.0,283.28,292.72,286.63,289.37,19512985,0.0,0.0,0.0,none
Bhadrak,bha,2023,control,coastal_treatment,,raw,EOS,349.0,344.28,353.72,347.63,350.37,19512985,,,,
Bhadrak,bha,2023,control,coastal_treatment,,corrected,EOS,349.0,344.28,353.72,347.63,350.37,19512985,0.0,0.0,0.0,none
Bhadrak,bha,2024,control,coastal_treatment,,raw,SOS,197.0,185.92,208.08,193.78,200.22,18596313,,,,
Bhadrak,bha,2024,control,coastal_treatment,,corrected,SOS,197.0,185.92,208.08,193.78,200.22,18596313,0.0,0.0,0.0,none
Bhadrak,bha,2024,control,coastal_treatment,,raw,POS,289.0,279.65,298.35,286.28,291.72,18596313,,,,
Bhadrak,bha,2024,control,coastal_treatment,,corrected,POS,289.0,279.65,298.35,286.28,291.72,18596313,0.0,0.0,0.0,none
Bhadrak,bha,2024,control,coastal_treatment,,raw,EOS,350.0,345.28,354.72,348.63,351.37,18596313,,,,
Bhadrak,bha,2024,control,coastal_treatment,,corrected,EOS,350.0,345.28,354.72,348.63,351.37,18596313,0.0,0.0,0.0,none
Cuttack,ctk,2017,control,inland_control,,raw,SOS,288.0,283.28,292.72,286.63,289.37,4228414,,,,
Cuttack,ctk,2017,control,inland_control,,corrected,SOS,288.0,283.28,292.72,286.63,289.37,4228414,0.0,0.0,0.0,none
Cuttack,ctk,2017,control,inland_control,,raw,POS,288.0,283.28,292.72,286.63,289.37,4228414,,,,
Cuttack,ctk,2017,control,inland_control,,corrected,POS,288.0,283.28,292.72,286.63,289.37,4228414,0.0,0.0,0.0,none
Cuttack,ctk,2017,control,inland_control,,raw,EOS,,,,,,4228414,,,,
Cuttack,ctk,2017,control,inland_control,,corrected,EOS,,,,,,4228414,0.0,0.0,0.0,none
Cuttack,ctk,2018,control,inland_control,,raw,SOS,288.0,276.32,299.68,284.61,291.39,6427424,,,,
Cuttack,ctk,2018,control,inland_control,,corrected,SOS,288.0,276.32,299.68,284.61,291.39,6427424,0.0,0.0,0.0,none
Cuttack,ctk,2018,control,inland_control,,raw,POS,288.0,276.32,299.68,284.61,291.39,6427424,,,,
Cuttack,ctk,2018,control,inland_control,,corrected,POS,288.0,276.32,299.68,284.61,291.39,6427424,0.0,0.0,0.0,none
