cyclone,district,lon,lat,source
Amphan,Baleshwar,87.01697187951308,21.464030988402406,Sentinel-1 SAR change detection (Module 08)
Amphan,Baleshwar,87.04095689759907,21.56401347952491,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.418154911119,20.1817757518502,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.50196772712735,20.20818622120332,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.42731772701703,20.107934235495577,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.82886465901845,20.60380427232955,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.98059011050624,20.745827918748848,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.51840689682675,20.221121961294635,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.50466267297972,20.201179361987183,Sentinel-1 SAR change detection (Module 08)
Amphan,Baleshwar,87.05685707812799,21.585303551758543,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.94043541730609,20.646384416796817,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.65072873817755,20.38955607706705,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.70408866605425,20.81347105964305,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.92561321511812,20.71806997646956,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.95687458700549,20.800535319551727,Sentinel-1 SAR change detection (Module 08)
Amphan,Baleshwar,87.01912783619497,21.514965465011983,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.50142873795689,20.18959109482204,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.44240942379024,20.17396040887836,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.49361339498505,20.198484416134825,Sentinel-1 SAR change detection (Module 08)
Amphan,Baleshwar,87.10940852224898,21.526553732177124,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.39201393635113,20.08475770116529,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.45884859348962,20.24699344147728,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.8630904713434,20.9506438035281,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.9005502186912,20.85578170952508,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.29607386400716,20.164528098395103,Sentinel-1 SAR change detection (Module 08)
Amphan,Baleshwar,87.05281465934945,21.60147322687269,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.41599895443711,20.18393170853209,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.79814227630156,20.556912214498517,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.63348108472245,20.869795427957342,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.79005743874448,20.573351384197903,Sentinel-1 SAR change detection (Module 08)
Amphan,Baleshwar,87.06359444275888,21.657797595186988,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.90405364829925,20.885426113901023,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.70732260107708,20.86332755791168,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.83344606696745,20.853895247428422,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.78601501996594,20.574159867953608,Sentinel-1 SAR change detection (Module 08)
Amphan,Baleshwar,87.36273343237069,21.61198351569689,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.84988523666685,21.00562069891621,Sentinel-1 SAR change detection (Module 08)
Amphan,Baleshwar,87.00673108527411,21.51065355164821,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.59575184278944,20.29684993974591,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.4383670050117,20.08448820658006,Sentinel-1 SAR change detection (Module 08)
Amphan,Bhadrak,86.87872115728709,20.868986944201637,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.97978162675054,20.746097413334084,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.29930779902999,20.52780679929304,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.82266628355802,20.69381546379833,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.37341880996985,20.11386311637077,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.41950238404519,20.099579903353263,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.4782522036266,20.35586925391257,Sentinel-1 SAR change detection (Module 08)
Amphan,Baleshwar,87.03421953296818,21.493405898193117,Sentinel-1 SAR change detection (Module 08)
Amphan,Kendrapara,86.81323397307477,20.614045066568515,Sentinel-1 SAR change detection (Module 08)
Amphan,Jagatsinghpur,86.42300581365325,20.169917990099822,Sentinel-1 SAR change detection (Module 08)
